Issue #,Days Open Calc
126220,6
126221,0
126223,0
126312,14
126313,3
126314,133
126316,20
126341,10
126366,166
126455,1
126456,8
126461,1
126594,16
126595,4
126644,62
126654,1
126876,29
126881,14
126895,121
126907,30
127085,25
127165,9
127182,2
127190,5
127192,0
127196,47
127208,5
127316,2
127603,7
127836,74
127870,1
129766,0
131580,3
131998,6
132002,0
132011,4
132171,1
132176,9
132250,0
132386,0
132551,23
132707,0
132713,4
